Date,Open,High,Low,Close,Adj Close,Volume
2015-02-06,0.795000,0.817500,0.751250,0.761250,0.397737,5083200
2015-02-09,0.751250,0.771250,0.746250,0.753750,0.393819,4903200
2015-02-10,0.760000,0.773750,0.752500,0.767500,0.401003,3325600
2015-02-11,0.775000,0.776250,0.716250,0.725000,0.378797,7108000
2015-02-12,0.725000,0.746250,0.715000,0.737500,0.385328,7673600
2015-02-13,0.737500,0.765000,0.732500,0.761250,0.397737,5374400
2015-02-18,0.770000,0.775000,0.748750,0.765000,0.399697,4189600
2015-02-19,0.767500,0.800000,0.760000,0.795000,0.415371,2551200
2015-02-20,0.795000,0.805000,0.788750,0.793750,0.414718,4831200
2015-02-23,0.802500,0.810000,0.787500,0.802500,0.419290,4311200
2015-02-24,0.802500,0.833750,0.802500,0.825000,0.431045,2980800
2015-02-25,0.825000,0.825000,0.793750,0.805000,0.420596,5300800
2015-02-26,0.815000,0.858750,0.788750,0.822500,0.429739,7412800
2015-02-27,0.825000,0.827500,0.750000,0.756250,0.395125,15342400
2015-03-02,0.756250,0.773750,0.745000,0.760000,0.397084,3664000
2015-03-03,0.758750,0.768750,0.731250,0.735000,0.384022,4124800
2015-03-04,0.733750,0.737500,0.693750,0.693750,0.362470,4445600
2015-03-05,0.700000,0.700000,0.681250,0.686250,0.358551,13774400
2015-03-06,0.677500,0.685000,0.637500,0.666250,0.348102,10964000
2015-03-09,0.658750,0.658750,0.616250,0.633750,0.331121,10820000
2015-03-10,0.632500,0.680000,0.631250,0.661250,0.345489,8119200
2015-03-11,0.675000,0.680000,0.653750,0.656250,0.342877,5138400
2015-03-12,0.657500,0.688750,0.657500,0.687500,0.359204,7116000
2015-03-13,0.686250,0.686250,0.647500,0.657500,0.343530,6496800
2015-03-16,0.668750,0.668750,0.627500,0.637500,0.333081,3424000
2015-03-17,0.636250,0.640000,0.616250,0.630000,0.329162,5212000
2015-03-18,0.626250,0.636250,0.617500,0.623750,0.325896,6967200
2015-03-19,0.620000,0.647500,0.620000,0.636250,0.332427,7293600
2015-03-20,0.640000,0.647500,0.631250,0.638750,0.333734,4244800
2015-03-23,0.641250,0.643750,0.632500,0.638750,0.333734,1476000
2015-03-24,0.642500,0.643750,0.625000,0.633750,0.331121,3553600
2015-03-25,0.631250,0.638750,0.621250,0.625000,0.326549,6748800
2015-03-26,0.620000,0.622500,0.606250,0.622500,0.325243,7481600
2015-03-27,0.623750,0.625000,0.613750,0.618750,0.323284,3521600
2015-03-30,0.620000,0.636250,0.620000,0.630000,0.329162,8304800
2015-03-31,0.637500,0.643750,0.616250,0.636250,0.332427,4719200
2015-04-01,0.636250,0.665000,0.635000,0.655000,0.342224,8459200
2015-04-02,0.651250,0.700000,0.651250,0.687500,0.359204,4430400
2015-04-06,0.688750,0.711250,0.677500,0.686250,0.358551,3556000
2015-04-07,0.683750,0.695000,0.667500,0.678750,0.354633,6542400
2015-04-08,0.683750,0.683750,0.625000,0.632500,0.330468,18001600
2015-04-09,0.630000,0.642500,0.621250,0.626250,0.327203,9504800
2015-04-10,0.627500,0.642500,0.627500,0.633750,0.331121,5006400
2015-04-13,0.637500,0.646250,0.630000,0.630000,0.329162,2039200
2015-04-14,0.633750,0.640000,0.628750,0.628750,0.328509,3088000
2015-04-15,0.633750,0.643750,0.628750,0.633750,0.331121,4815200
2015-04-16,0.633750,0.656250,0.633750,0.650000,0.339611,4796000
2015-04-17,0.648750,0.661250,0.640000,0.641250,0.335040,4692800
2015-04-20,0.648750,0.650000,0.631250,0.633750,0.331121,2940800
2015-04-22,0.640000,0.641250,0.628750,0.637500,0.333081,2817600
2015-04-23,0.633750,0.637500,0.630000,0.636250,0.332427,3213600
2015-04-24,0.637500,0.657500,0.630000,0.645000,0.336999,8012800
2015-04-27,0.648750,0.660000,0.645000,0.655000,0.342224,4191200
2015-04-28,0.650000,0.651250,0.622500,0.632500,0.396337,4618400
2015-04-29,0.635000,0.635000,0.616250,0.620000,0.388504,3898400
2015-04-30,0.618750,0.631250,0.617500,0.628750,0.393987,3025600
2015-05-04,0.633750,0.658750,0.630000,0.657500,0.412002,6155200
2015-05-05,0.656250,0.683750,0.656250,0.681250,0.426885,6688000
2015-05-06,0.675000,0.695000,0.658750,0.693750,0.434717,5188000
2015-05-07,0.700000,0.712500,0.680000,0.686250,0.430018,4905600
2015-05-08,0.690000,0.690000,0.621250,0.627500,0.393204,17799200
2015-05-11,0.631250,0.636250,0.616250,0.623750,0.390854,6096800
2015-05-12,0.618750,0.626250,0.616250,0.622500,0.390071,3663200
2015-05-13,0.627500,0.630000,0.611250,0.620000,0.388504,4212000
2015-05-14,0.621250,0.622500,0.581250,0.597500,0.374405,7516000
2015-05-15,0.600000,0.616250,0.587500,0.607500,0.380671,5413600
2015-05-18,0.608750,0.612500,0.590000,0.602500,0.377538,2516000
2015-05-19,0.600000,0.603750,0.585000,0.591250,0.370489,4220800
2015-05-20,0.597500,0.597500,0.576250,0.577500,0.361873,4753600
2015-05-21,0.578750,0.583750,0.570000,0.580000,0.363439,1588800
2015-05-22,0.582500,0.588750,0.570000,0.571250,0.357956,1909600
2015-05-25,0.571250,0.583750,0.565000,0.566250,0.354823,1467200
2015-05-26,0.563750,0.567500,0.546250,0.547500,0.343074,10908000
2015-05-27,0.548750,0.550000,0.522500,0.550000,0.344641,10738400
2015-05-28,0.560000,0.576250,0.547500,0.548750,0.343857,9936800
2015-05-29,0.552500,0.552500,0.528750,0.535000,0.335241,7225600
2015-06-01,0.532500,0.551250,0.532500,0.540000,0.338375,4058400
2015-06-02,0.542500,0.550000,0.525000,0.531250,0.332892,9927200
2015-06-03,0.532500,0.535000,0.508750,0.513750,0.321926,10342400
2015-06-05,0.515000,0.518750,0.502500,0.511250,0.320359,5320800
2015-06-08,0.515000,0.515000,0.505000,0.507500,0.318009,2582400
2015-06-09,0.506250,0.513750,0.501250,0.510000,0.319576,3071200
2015-06-10,0.515000,0.517500,0.500000,0.501250,0.314093,3350400
2015-06-11,0.502500,0.507500,0.492500,0.497500,0.311743,4363200
2015-06-12,0.493750,0.493750,0.483750,0.488750,0.306260,2374400
2015-06-15,0.488750,0.492500,0.478750,0.485000,0.303910,2284000
2015-06-16,0.490000,0.491250,0.478750,0.482500,0.302344,2572800
2015-06-17,0.482500,0.490000,0.478750,0.488750,0.306260,2251200
2015-06-18,0.490000,0.491250,0.480000,0.480000,0.300777,3492800
2015-06-19,0.480000,0.490000,0.470000,0.487500,0.305477,5672000
2015-06-22,0.491250,0.502500,0.485000,0.493750,0.309393,2841600
2015-06-23,0.498750,0.498750,0.476250,0.477500,0.299211,4240000
2015-06-24,0.480000,0.483750,0.462500,0.463750,0.290595,3136000
2015-06-25,0.465000,0.466250,0.447500,0.447500,0.280412,2740000
2015-06-26,0.450000,0.455000,0.440000,0.447500,0.280412,1847200
2015-06-29,0.445000,0.462500,0.437500,0.440000,0.275713,4206400
2015-06-30,0.440000,0.443750,0.436250,0.441250,0.276496,4368000
2015-07-01,0.441250,0.442500,0.427500,0.431250,0.270230,3771200
2015-07-02,0.430000,0.431250,0.412500,0.417500,0.261614,6258400
2015-07-03,0.412500,0.412500,0.401250,0.406250,0.254564,6357600
2015-07-06,0.405000,0.405000,0.387500,0.398750,0.249865,5507200
2015-07-07,0.393750,0.396250,0.382500,0.388750,0.243598,4116000
2015-07-08,0.383750,0.388750,0.368750,0.372500,0.233416,5385600
2015-07-10,0.378750,0.386250,0.372500,0.378750,0.237332,4996800
2015-07-13,0.377500,0.381250,0.368750,0.368750,0.231066,4244800
2015-07-14,0.366250,0.367500,0.358750,0.365000,0.228716,2077600
2015-07-15,0.362500,0.363750,0.343750,0.346250,0.216967,8753600
2015-07-16,0.343750,0.343750,0.326250,0.330000,0.206784,10064800
2015-07-17,0.330000,0.330000,0.316250,0.318750,0.199735,10402400
2015-07-20,0.320000,0.321250,0.297500,0.305000,0.191119,10413600
2015-07-21,0.300000,0.361250,0.298750,0.350000,0.219317,32340000
2015-07-22,0.343750,0.381250,0.343750,0.381250,0.238899,21431200
2015-07-23,0.390000,0.450000,0.386250,0.447500,0.280412,35279200
2015-07-24,0.475000,0.491250,0.380000,0.380000,0.238115,43638400
2015-07-27,0.380000,0.381250,0.337500,0.348750,0.218534,16271200
2015-07-28,0.361250,0.371250,0.347500,0.357500,0.224016,8783200
2015-07-29,0.353750,0.353750,0.333750,0.343750,0.215400,7984800
2015-07-30,0.342500,0.347500,0.331250,0.342500,0.214617,4549600
2015-07-31,0.365000,0.450000,0.365000,0.448750,0.281196,31232800
2015-08-03,0.436250,0.448750,0.398750,0.417500,0.261614,17639200
2015-08-04,0.425000,0.447500,0.415000,0.430000,0.269446,12422400
2015-08-05,0.437500,0.440000,0.407500,0.408750,0.256131,6043200
2015-08-06,0.400000,0.403750,0.382500,0.391250,0.245165,7680800
2015-08-07,0.386250,0.401250,0.370000,0.378750,0.237332,9709600
2015-08-10,0.367500,0.386250,0.360000,0.380000,0.238115,8838400
2015-08-11,0.381250,0.407500,0.381250,0.391250,0.245165,6033600
2015-08-12,0.386250,0.395000,0.372500,0.372500,0.233416,3247200
2015-08-13,0.375000,0.380000,0.357500,0.360000,0.225583,3972800
2015-08-14,0.366250,0.382500,0.353750,0.356250,0.223233,4166400
2015-08-17,0.358750,0.371250,0.351250,0.368750,0.231066,5571200
2015-08-18,0.366250,0.406250,0.358750,0.395000,0.247515,8783200
2015-08-19,0.387500,0.390000,0.366250,0.372500,0.233416,4829600
2015-08-20,0.372500,0.381250,0.362500,0.375000,0.234982,2153600
2015-08-21,0.371250,0.371250,0.356250,0.356250,0.223233,3048000
2015-08-24,0.346250,0.351250,0.333750,0.341250,0.213834,4262400
2015-08-25,0.350000,0.356250,0.328750,0.332500,0.208351,6107200
2015-08-26,0.340000,0.342500,0.326250,0.335000,0.209918,5198400
2015-08-27,0.333750,0.342500,0.331250,0.337500,0.211484,7676000
2015-08-28,0.336250,0.337500,0.328750,0.331250,0.207568,6813600
2015-08-31,0.326250,0.326250,0.313750,0.318750,0.199735,4746400
2015-09-01,0.320000,0.320000,0.307500,0.310000,0.194252,2182400
2015-09-02,0.313750,0.317500,0.307500,0.308750,0.193469,1784800
2015-09-03,0.311250,0.335000,0.310000,0.321250,0.201302,4872800
2015-09-04,0.325000,0.332500,0.307500,0.307500,0.192686,4624000
2015-09-08,0.316250,0.318750,0.297500,0.297500,0.186419,6900000
2015-09-09,0.300000,0.305000,0.297500,0.303750,0.190336,3926400
2015-09-10,0.293750,0.302500,0.291250,0.300000,0.187986,3508800
2015-09-11,0.297500,0.297500,0.283750,0.285000,0.178587,5288000
2015-09-14,0.287500,0.287500,0.271250,0.272500,0.170754,5528000
2015-09-15,0.272500,0.275000,0.262500,0.262500,0.164488,4808800
2015-09-16,0.266250,0.282500,0.266250,0.277500,0.173887,4712800
2015-09-17,0.285000,0.307500,0.278750,0.285000,0.178587,9478400
2015-09-18,0.283750,0.283750,0.257500,0.257500,0.161355,18951200
2015-09-21,0.261250,0.262500,0.248750,0.250000,0.156655,10608000
2015-09-22,0.246250,0.246250,0.233750,0.238750,0.149605,10732800
2015-09-23,0.240000,0.241250,0.237500,0.237500,0.148822,6657600
2015-09-24,0.236250,0.253750,0.233750,0.243750,0.152739,3439200
2015-09-25,0.248750,0.256250,0.235000,0.235000,0.147256,2636800
2015-09-28,0.241250,0.242500,0.220000,0.225000,0.140989,4569600
2015-09-29,0.227500,0.231250,0.220000,0.222500,0.139423,2379200
2015-09-30,0.228750,0.230000,0.220000,0.225000,0.140989,3196800
2015-10-01,0.215780,0.217970,0.201560,0.205470,0.128752,23648000
2015-10-02,0.207810,0.208440,0.197660,0.203130,0.127285,57107200
2015-10-05,0.203440,0.225780,0.201410,0.218750,0.137073,42681600
2015-10-06,0.218750,0.237190,0.218750,0.226720,0.142067,8345600
2015-10-07,0.228440,0.246090,0.227970,0.243130,0.152350,9888000
2015-10-08,0.240470,0.249840,0.238590,0.249690,0.156461,4832000
2015-10-09,0.250000,0.254060,0.238910,0.240780,0.150877,4953600
2015-10-13,0.239060,0.239060,0.217660,0.217660,0.136390,14758400
2015-10-14,0.215940,0.226560,0.210310,0.211720,0.132668,15040000
2015-10-15,0.213590,0.214380,0.208440,0.210160,0.131690,12601600
2015-10-16,0.210160,0.210160,0.202030,0.202030,0.126596,13100800
2015-10-19,0.202030,0.203130,0.199060,0.199220,0.124835,14720000
2015-10-20,0.200310,0.200310,0.193910,0.195310,0.122385,10976000
2015-10-21,0.195310,0.195470,0.187500,0.187500,0.117491,15072000
2015-10-22,0.190310,0.193750,0.185160,0.187500,0.117491,12985600
2015-10-23,0.187500,0.189690,0.183910,0.185000,0.115925,13299200
2015-10-26,0.184840,0.193750,0.180310,0.193750,0.121408,25254400
2015-10-27,0.195160,0.213440,0.195160,0.201560,0.126301,27462400
